MMS Id,Location Name,Normalized Call Number,Permanent Call Number,Summary Holding,ISSN,Title,Num of Items (In Repository),Num of Loans (In House + Not In House),Author
991003725209702920,Main Collection,"0ql""461 a5",QL461 .A5,"BOUND : v.1-14, 16-44, 46-49.",1545-4487; 15454487; 0066-4170; 00664170,Annual review of entomology.,47,118,
991003715949702920,Main Collection,"0ql""461 b85",QL461 .B85,BOUND : v.1-77; 1910-1987.,1475-2670; 14752670; 0007-4853; 00074853,Bulletin of entomological research.,68,0,
991003724679702920,Main Collection,"0ql""461 c17",QL461 .C17,"BOUND : v.1-4, 5-21, 27-30, 37-38, 40-83, 85-108, 110-129.",,University of California publications in entomology.,112,25,"University of California, Berkeley."
991003724809702920,Main Collection,"0ql""461 e57",QL461 .E57,"BOUND : V.1-5, 7-8.",0071-0717; 00710717,Miscellaneous publications of the Entomological Society of America.,5,1,
991003722849702920,Main Collection,"0ql""461 e574",QL461 .E574,"BOUND : v.33-44, 46-47, 50-85, 87-88, 90, 92-100, 102, 104-110, 112-116, 118-121, 124, 126-170.",0071-075X; 0071075X,Memoirs of the Entomological Society of Canada.,1,0,
991003707809702920,Main Collection,"0ql""461 e69",QL461 .E69,"BOUND : v.72-79, no.3; 1970-July 1977.  v.108-113; 2006-2011.",2378-6477; 23786477; 0013-8797; 00138797,Proceedings of the Entomological Society of Washington.,14,1,
991003642329702920,Main Collection,"0ql""461 i7",QL461 .I7,BOUND : v.1.,,Invertebrata pacifica.,1,0,
991003696269702920,Main Collection,"0ql""461 m5",QL461 .M5,BOUND : v.1-24; 1936-1961.; CEASED PUBLICATION.,0893-3227; 08933227,Microentomology : contributions to entomology from the Natural History Museum of Stanford University.,7,1,
991003690309702920,Main Collection,"0ql""461 p3",QL461 .P3,BOUND : v.1-87; 1924-2011.; INCOMPLETE : v.50; 1974.,2162-0237; 21620237; 0031-0603; 00310603,The Pan-Pacific entomologist.,78,9,
991003724549702920,Main Collection,"0ql""475 c3 c3",QL475.C3 C3,"BOUND : v.1-21, 23-27.",0068-5631; 00685631,Bulletin of the California Insect Survey.,1,0,
991003721699702920,Main Collection,"0ql""495 a23",QL495 .A23,BOUND : v.1-22.,2213-6800; 22136800; 0567-9974; 05679974; 0065-2806; 00652806,Advances in insect physiology.,22,12,
991003642179702920,Main Collection,"0ql""599.5 e28",QL599.5 .E28,"BOUND : v.1, no.1-6; 1915-1924.",,Ectoparasites.,1,3,
991003697509702920,Main Collection,"0ql""614 s8",QL614 .S8,"BOUND : v.4, pt.2.  v.6.",0097-0670; 00970670,Stanford ichthyological bulletin.,2,3,
991003713399702920,Main Collection,"0ql""640 h46",QL640 .H46,INDEX : v.1-7; 1967-1976.; BOUND : v.3-40; 1971-2009.,0018-084X; 0018084X,Herpetological review.,25,11,
991003712099702920,Main Collection,"0ql""671 a78",QL671 .A78,"BOUND : v.25-48, no.1; 1971-spring 1994.",004-7686; 0047686; 0004-7686; 00047686,American birds.,23,3,
991003717369702920,Main Collection,"0ql""671 a78",QL671 .A78,BOUND : v.2; 1948. v.4-8; 1950-1954. v.12-18; 1958-1964. v.21-24; 1967-1970.,0097-7144; 00977144,Audubon field notes.,17,2,
991003717329702920,Main Collection,"0ql""671 a82",QL671 .A82,BOUND : v.49-53; 1947-1951. v.55-59; 1953-1957.,0004-7694; 00047694,Audubon magazine.,1,0,
991003705469702920,Main Collection,"0ql""671 a82",QL671 .A82,BOUND : v.70-95; 1968-1993.,0097-7136; 00977136,Audubon.,33,21,
991003657589702920,Main Collection,"0ql""671 a82",QL671 .A82,BOUND : v.8-37; 1906-1935.,1059-8626; 10598626,Bird-lore.,27,0,
991003683049702920,Main Collection,"0ql""671 l57",QL671 .L57,BOUND : v.5-19; 1966-1981.,0459-6137; 04596137,The Living bird.,15,9,
991003632439702920,Main Collection,"0ql""671 l573",QL671 .L573,"BOUND : v.1-12, no.2; 1982-spring 1993.",0735-0422; 07350422; 0732-9210; 07329210,The Living bird quarterly.,9,4,
991003701249702920,Main Collection,"0ql""671 n8",QL671 .N8,BOUND : v.1-8; 1876-1883.,2474-9370; 24749370; 2474-0144; 24740144,Bulletin of the Nuttall Ornithological Club.,4,0,
991003741359702920,Main Collection,"0ql""677 c47",QL677 .C47,"BOUND : v.1-10, 12-15.",,Check-list of birds of the world.,14,11,
991005018749702920,Main Collection,"0ql""681 b625",QL681 .B625,BOUND : No.1-716.,1061-5466; 10615466,The birds of North America.,1,0,
991003764089702920,Main Collection,"0ql""681 b628",QL681 .B628,BOUND : Fall 2000-Fall 2004.,2325-2138; 23252138; 2325-1972; 23251972,Birdscapes : news from international habitat conservation partnerships.,2,1,
991003661269702920,Main Collection,"0ql""713.2 m355",QL713.2 .M355,BOUND : 1978.,,Annual report of the Marine Mammal Commission : a report to Congress.,1,6,United States. Marine Mammal Commission.
991003698029702920,Main Collection,"0ql""737 c4 t5",QL737.C4 T5,BOUND : v.1-5. v.15-21.,0083-9086; 00839086,The Scientific reports of the Whales Research Institute.,12,22,
991000935119702920,Main Collection,"0ql""750 p47",QL750 .P47,"BOUND : v.1-2, 11.",0738-4394; 07384394,Perspectives in ethology.,3,5,
991003675769702920,Main Collection,"0ql""785.5 p7 p75",QL785.5.P7 P75,BOUND : v.1-3.,0079-5097; 00795097,Primate behavior.,3,3,
991003733659702920,Main Collection,"0qr""360 v52",QR360 .V52,BOUND : v.15-17.,0083-6591; 00836591,Virology monographs = die Virusforschung in Einzeldarstellungen.,1,0,
